"","year_class","Grid","n","Mean","Boot.mean","Conf.level","Bca.lower","Bca.upper","count_lower","count_upper","total_mean"
"1","total_count","100m_n",49,362,363,0.95,286,447,1401400000,2190300000,1773800000
"2","total_count","100m_s",47,64.3,64.4,0.95,43.9,96.9,206330000,455430000,302210000
"3","total_count","250m",293,177,177,0.95,147,211,26919375000,38639375000,32413125000
"4","Y0Count","100m_n",49,336,335,0.95,259,422,1269100000,2067800000,1646400000
"5","Y0Count","100m_s",47,56.7,56.6,0.95,38.2,86.7,179540000,407490000,266490000
"6","Y0Count","250m",293,166,166,0.95,138,200,25271250000,3.6625e+10,30398750000
"7","Y1Count","100m_n",49,16.1,16.1,0.95,11.2,23,54880000,112700000,78890000
"8","Y1Count","100m_s",47,1.94,1.95,0.95,0.83,5.55,3901000,26085000,9118000
"9","Y1Count","250m",293,7.71,7.7,0.95,5.12,13.5,937600000,2472187500,1411893750
"10","Y2Count","100m_n",49,6.92,6.96,0.95,4.29,12.6,21021000,61740000,33908000
"11","Y2Count","100m_s",47,4.7,4.67,0.95,2.21,10.4,10387000,48880000,22090000
"12","Y2Count","250m",293,2.48,2.49,0.95,1.85,3.45,338781250,631781250,454150000
"13","Y3Count","100m_n",49,3.39,3.4,0.95,1.96,6.04,9604000,29596000,16611000
"14","Y3Count","100m_s",47,0.979,0.982,0.95,0.532,1.74,2500400,8178000,4601300
"15","Y3Count","250m",293,0.703,0.704,0.95,0.488,1.05,89365000,192281250,128736875
