"","harvestable_mass.length.1.37.","cum.biomass","inv.mass"
"1",4,0.358381358646598,14680.2666186414
"2",5,17.0987278861967,14663.5262721138
"3",6,211.849958677072,14468.7750413229
"4",7,666.129555676902,14014.4954443231
"5",8,1361.27730525195,13319.3476947481
"6",9,2297.19494652062,12383.4300534794
"7",10,3286.77862849437,11393.8463715056
"8",11,4401.80282948732,10278.8221705127
"9",12,5478.97855841147,9201.64644158853
"10",13,6615.54363223823,8065.08136776177
"11",14,7502.51134143873,7178.11365856127
"12",15,8157.47137292164,6523.15362707836
"13",16,8713.28021846611,5967.34478153389
"14",17,9154.65438750827,5525.97061249173
"15",18,9703.45972965582,4977.16527034418
"16",19,10330.9178258982,4349.70717410182
"17",20,10965.8322061542,3714.79279384576
"18",21,11597.0530866524,3083.57191334763
"19",22,12201.6558727296,2478.96912727042
"20",23,12778.2768736874,1902.34812631263
"21",24,13289.550829841,1391.07417015899
"22",25,13787.4886434138,893.136356586216
"23",26,14159.7669959748,520.858004025218
"24",27,14380.5248052181,300.100194781893
"25",28,14541.0190839592,139.60591604082
"26",29,14584.5382021292,96.0867978708068
"27",30,14612.364128673,68.260871327046
"28",31,14643.3851926922,37.2398073077798
"29",32,14652.0011762544,28.6238237456162
"30",33,14680.625,1.62987678908877e-12
"31",34,14680.625,1.62987678908877e-12
"32",35,14680.625,1.62987678908877e-12
"33",36,14680.625,1.62987678908877e-12
"34",37,14680.625,1.62987678908877e-12
"35",38,14680.625,1.62987678908877e-12
"36",39,14680.625,1.62987678908877e-12
"37",40,14680.625,1.62987678908877e-12
