"","year_class","Grid","count_totals"
"1","total_count","100m_n",1774500000
"2","total_count","100m_s",302100000
"3","total_count","250m",32429375000
"4","Y0Count","100m_n",1644900000
"5","Y0Count","100m_s",266300000
"6","Y0Count","250m",3.0435e+10
"7","Y1Count","100m_n",79100000
"8","Y1Count","100m_s",9100000
"9","Y1Count","250m",1411875000
"10","Y2Count","100m_n",33900000
"11","Y2Count","100m_s",22100000
"12","Y2Count","250m",453750000
"13","Y3Count","100m_n",16600000
"14","Y3Count","100m_s",4600000
"15","Y3Count","250m",128750000
