"","year_class","Grid","mass_totals"
"1","total_weight","100m_n",796200
"2","total_weight","100m_s",136800
"3","total_weight","250m",14680625
"4","Y0Weight","100m_n",390200
"5","Y0Weight","100m_s",46500
"6","Y0Weight","250m",8502500
"7","Y1Weight","100m_n",178200
"8","Y1Weight","100m_s",12600
"9","Y1Weight","250m",3400625
"10","Y2Weight","100m_n",131900
"11","Y2Weight","100m_s",54700
"12","Y2Weight","250m",2002500
"13","Y3Weight","100m_n",95900
"14","Y3Weight","100m_s",23000
"15","Y3Weight","250m",775000
